statsyear,accid,crash_date,crash_time,ccode,cname,mcode,mname,highway,location,fatalities,fatal_d,fatal_p,fatal_t,fatal_b,fetched_at
2026,14419,2026-02-16,09:14:00,06,Cumberland,0614,Vineland City,47,State Highway 47,1,1,0,0,0,2026-02-19 15:23:13
2026,14415,2026-02-15,02:02:00,15,Ocean,1511,Jackson Twsp,641,County 641,2,1,1,0,0,2026-02-19 15:23:13
2026,14411,2026-02-11,20:32:00,07,Essex,0714,Newark City,601,County 601,1,0,0,1,0,2026-02-19 15:23:13
2026,14409,2026-02-11,08:54:00,09,Hudson,0909,Secaucus Town,95,New Jersey Turnpike,1,0,0,1,0,2026-02-19 15:23:13
2026,14420,2026-02-11,08:07:00,09,Hudson,0907,Kearny Town,,Kearny Ave,1,0,0,1,0,2026-02-19 15:23:13
2026,14418,2026-02-09,14:41:00,01,Atlantic,0102,Atlantic City,,Winchester Ave,1,0,0,1,0,2026-02-19 15:23:13
2026,14408,2026-02-07,16:28:00,21,Warren,2111,Hope Twsp,519,County 519,1,1,0,0,0,2026-02-19 15:23:13
2026,14406,2026-02-07,02:02:00,07,Essex,0714,Newark City,21,State Highway 21,1,1,0,0,0,2026-02-19 15:23:13
2026,14404,2026-02-06,14:07:00,15,Ocean,1511,Jackson Twsp,571,County 571,1,1,0,0,0,2026-02-19 15:23:13
2026,14417,2026-02-05,22:23:00,01,Atlantic,0102,Atlantic City,40,State Highway 40 MP 63.86,1,0,0,0,1,2026-02-19 15:23:13
2026,14405,2026-02-04,14:38:00,16,Passaic,1603,Haledon Boro,,Hobart Ave,1,0,1,0,0,2026-02-19 15:23:13
2026,14402,2026-02-04,06:36:00,20,Union,2001,Berkeley Heights Tw,78,Interstate 78,1,1,0,0,0,2026-02-19 15:23:13
2026,14401,2026-02-03,23:22:00,04,Camden,0414,Gloucester City,76,Interstate 76 MP 1.2,2,1,1,0,0,2026-02-19 15:23:13
2026,14407,2026-02-03,14:51:00,14,Morris,1427,Mount Olive Twsp,206,State Highway 206,1,1,0,0,0,2026-02-19 15:23:13
2026,14399,2026-01-31,17:33:00,07,Essex,0714,Newark City,,Clinton Ave,1,0,0,1,0,2026-02-19 15:23:13
2026,14398,2026-01-30,18:18:00,17,Salem,1710,Pittsgrove Twsp,56,State Highway 56 MP 7.2,1,1,0,0,0,2026-02-19 15:23:13
2026,14396,2026-01-29,20:59:00,03,Burlington,0325,Mount Laurel Twsp,95,New Jersey Turnpike MP 39.6,1,1,0,0,0,2026-02-19 15:23:13
